离婚后，原告一直在诉争房屋中居住，但被告始终拒绝协助原告履行房屋过户手续。	4,15,2
因婚前认识时间短，缺乏了解，婚后未建立起夫妻感情，双方矛盾不断，经常吵架，现被告已经回娘家。	5
原告曾两次向法院提起离婚诉讼。	6
××××年××月××日双方生育了女儿陈某2，现由原告抚养。	0,1
经双方协商，女儿毛某琳由男方毛某抚养成人并随男方毛某生活，女方肖某每月承担女儿毛某琳的抚养费500.00元整人民币（大写：伍佰元整人民币），每月底以打卡的形式支付，直到女儿毛某琳学业结束为止，女方有探望子女的权利（在不影响孩子正常生活和学习的情况下，每一个月最后一个周末女方可去探望孩子一次），男方不得阻拦”。	0,7,3,1
2015年7月20日分居至今。	5
本案中，原、被告自2012年4月后分居生活，互不履行夫妻义务，且原告曾起诉离婚，本院判决不予准许之后，夫妻关系仍未得到改善，应认定夫妻感情确已破裂，对原告请求与被告离婚，本院予以准许。	6,8
从查明的事实看，被告目前主要承担家庭开支，同时抚养三个子女，其父亲病重也需要治疗和照顾。	0,1
经审理查明，原、被告原系夫妻关系，在原、被告夫妻关系存续期间，出卖人威海市望海房地产开发有限公司与买受人（原告佟XX、被告初XX）签订威海市商品房【预售】合同，合同载明商品房预售许可证号为：（2010）房预售证第312号，该商品房座落于威海市环翠区XX号-403，该商品房【合同约定】建筑面积共86.07平方米，计价方式为按建筑面积计算，该商品房房屋计价为人民币352026元，该商品房总购房款为上述1项计价合计人民币352026元；	4,2
一、准许原告杨某与被告邓某甲离婚；	8,11
准予原告胡某某与被告李某某离婚。	8,11
然，张某甲于2014年11月中旬外出打工后一直下落不明，张某乙只能随杨某甲一起生活，张某甲对张某乙未尽主要抚养义务，且张某乙系十周岁以上的未成年人，现愿随杨某甲一起生活，且杨某甲有抚养能力，为有利于子女身心××保障子女的合法权益，故杨某甲要求张某乙由张某甲抚养变更为由杨某甲抚养的理由成立，对其诉讼请求，依法予以支持；	12,0,18,1
本院于2015年8月4日在邹平县临池镇桥子村王某家中，对属于原告毛某的婚前个人财产进行了清点，现存被子五床、褥子二床、太空被一床、毛毯一床。	10
位于济宁市兖州区新兖镇小徐村80号平房五间及家中电视、电脑、空调、电瓶车、洗衣机、冰箱、所有家具归被告李某所有，摩托车一辆归原告徐某所有。	4,2
福特汽车（车牌号京N×××××）归被告所有，被告给付原告车辆折款50000元。	2
四、种植在云霄县马铺乡乌螺村蜜柚果树500株属夫妻共同财产，由夫妻共同分割。	4,2
3.仓库二个，被告不主张分割；	2
结合本案实际，婚生女应由原告抚养为宜。	0,1
次女出生于2012年9月4日，取名王俊；	0
原、被告之间的感情很好，被告在外务工收入全部寄给了原告，由原告在家抚养孩子，被告尽到了家庭义务。	0
2001年6月1日生一女，取名何国童，现随被告共同生活。	0
xxx虽有跟随被告共同生活的意愿，但考虑到其自出生一直随原告共同生活，与被告未曾持续生活，变更抚养关系对xxx的成长无明显益处，反而稳定的生活环境对其较为有益。	13,1
对原告放弃对夫妻共同财产分割的要求，系原告对自身权利的处分，本院予以采纳。	2
只是从被告因罹患精神疾病后双方感情发生了变化，以至于原告2014年5月5日向本院起诉离婚。	6
原告愿意自行承担抚养费，予以准许。	0,1
本院认为，原、被告虽系自主婚姻，生育子女，但结婚时间短，未真正建立起牢固的感情基础，现原告主张离婚，被告亦同意，按照结婚自由，离婚自愿的原则，本院予以准许。	8,0
原、被告共同生活期间，因生活琐事产生矛盾，自2012年2月起分居至今。	5
本院认为，原告闫某与被告丁某甲虽然结婚时间较长，但夫妻关系不和睦，原告提交的证据足以证明被告在婚姻关系存续期间与他人同居，双方夫妻感情已经破裂，原告要求与被告离婚，本院予以准许。	8,11
五、被告与XX公司解除劳动关系时，XX公司补偿给被告经济补偿金22640元由原告领取，原告应该返还。	19
鉴于原告放弃分割夫妻共同财产及承担部分共同债务的实际情况，镇原县农村信用合作联社孟坝信用社借款30000元由被告张某某负责清偿。	9,2
关于抚养费，原告请求被告每月给付4000元，且自2013年9月起至十八周岁止。	7,3,1
根据原被告双方离婚协议书约定，原告佟XX一次性支付被告初XX人民币3万元整，房屋所有权归原告所有，被告应协助原告将上述房产手续变更到原告名下。	4,2
因此，本院准予原、被告离婚。	8
儿子倪某乙随原告生活，被告支付儿子生活费每月800元，教育费、医疗费根据实际支出由原、被告各半承担；	0,7,3,1
虽然婚后原、被告间因家庭事务产生过一些矛盾但并未严重影响夫妻感情，只要双方在今后的共同生活中互谅互让，加强沟通，双方的夫妻关系是可以和好如初的，且被告也当庭表示为了子女的健康成长希望与原告和好，原告也未提供充分的证据证明双方的夫妻感情确已破裂。	0
对于原、被告夫妻共同财产即坐落于武汉市武昌区中南路街中南一路44号2栋2单元4楼1号房屋的处理，本院将考虑房屋的分配、取得、居住等情况予以处理。	4,2
原告诉称，原、被告原系夫妻关系，二人于2007年12月6日登记结婚，于2013年1月4日生育一女白×2，于2015年7月27日生育次女白×3，后二人因感情不和于2015年12月23日协议离婚。	0
三、南海市黄岐区岐西路恒福花园金兰阁204房屋内的家私电器归原告罗某甲所有。	2
本院认为，杨某某于2010年1月8日通过银行转账方式支付到被告袁某某银行账户中的97400元系原告马某某转让出租车经营份额的转让款，属于原告马某某的婚前个人财产。	10
2、在分居期间，原告先后多次得病，被告没有照顾原告一天，其中2010年原告得了一次重感冒，被告明知却连大夫都不给原告找，已到不关心原告死活的地步。	12,5
原、被告于2015年3月19日协议离婚时，明确约定婚生男孩曲某乙由被告曲某甲抚养，并由被告曲某甲负担曲某乙的全部抚养费用，原告刘某于2015年11月2日起诉至法院，请求依法变更曲某乙的抚养关系，其主要理由是被告在未征得其同意的情况下，擅自将曲某乙送往德州齐河生活、学习，改变了曲某乙的学习、生活现状，对曲某乙的健康成长极为不利，原告同时认为被告工作繁忙、工作性质为野外作业，无法亲自照顾曲某乙。	0,1
另查，原、被告共同生活期间在原造纸厂集资房旁添置了约4万元的占地面积约50平方米的三小间二层房屋一栋，无共同债权、债务，无共同存款，对于共同财产原告表示赠与给二个小孩。	2,4
被告要求分割原告名下工资卡银行帐户2015年1月至2016年4月30日支出钱款，根据原告工资卡历史交易明细表，截止2016年4月30日，原告工资卡帐户余额为14,124.95元,但原告在2015年以及2016年4月30日前工资卡帐户支出钱款80余万元,原告辩称已用于生活消耗及存在差旅费垫付钱款等情况，综合分析原告在短时间内取出大额钱款、原告合理的实际生活消耗需求等因素，本院酌情确定被告可分割得原告工资款25万元。	2
本院认为，原告童某某与被告代明福婚姻关系存续期间为婚生女儿交纳保费投保，是为子女设定的一种人身保险和家庭理财方式，虽然约定的受益人为代明福，但投保系婚姻关系存续期间，在保险期间合同终止时，保险合同中的现金价值仍应为原告童某某、被告代明福的共同财产，应当归原告童某某、代明福共同所有，被告代明福应当依法给付被告童某某所投保费的50%，即4170元。	0,2
本案原、被告虽然结婚时间长，且生育有一小孩，但原、被告之间因发生争吵、打架，致原告多次起诉，夫妻感情已破裂，且被告在本案审理过程中，同意离婚，故对于原告要求离婚的诉讼请求，本院依法予以支持。	6,8,0,1
原告虽曾起诉与被告离婚，但在法院判决原、被告不准离婚后，双方和好并又在一起共同生活，现原告再次起诉与被告离婚，被告不同意离婚，可见原、被告的婚姻又出现了感情危机，只要被告肯努力还是有修复的可能，双方的婚姻并未达到婚姻死亡的程度。	6
2015年1月13日，原告诉至本院要求与被告离婚，诉讼中，原告以双方欲庭外协商为由向本院撤回起诉，2015年2月5日，本院作出（2015）××民初字第××号民事裁定，准许原告撤回起诉。	6
在案件审理过程中，被告同意与原告离婚，也同意抚养两个子女，但要求原告每月向被告支付两个子女的抚养费1000元。	0,7,3,1
现我与被告黄某某夫妻感情已彻底破裂，故再次诉至法院，请求判决：我与被告黄某某离婚；	6
2013年11月13日原告曾向本院起诉要求离婚，后本院认为双方的感情没有破裂故不准双方离婚，于该案中被告确认原告有一个因车祸而多年瘫痪的女儿需要照顾。	6,1
原告提交（2015）扶民初字第807号民事判决书的证据，只能证明曾向法院起诉离婚并经法院审理判决不准离婚的事实，原告诉称夫妻感情已经彻底破裂的事实却无证据予以证明，故原告的诉讼请求，本院仍不能予以支持。	6
故对原告离婚的诉讼请求，本院予以支持。	8,11
女儿随原告生活时间较长，祖父母又有能力协助抚育孩子，故请求判令女儿随原告生活，被告郭某某承担必要抚育费。	13,1,3
2012年6月25日原告起诉离婚法院未予准许。	6
婚生子方某乙由被告方某甲带领抚养，婚生子方某丙由我带领抚养。	0,1
但自离婚后被告将女儿接走放在家中由被告陈某某父母照看，被告常年外出打工。	0,18,1
2008年6月27日，生育次子，取名何某丙，现年六岁，在盐亭县折弓乡就读一年级。	0
4、柯某从其姐姐处借款应予偿还；	9
二、婚生女孩赵韵涵随原告生活，被告自2015年7月起每月负担600元抚养费至孩子独立生活止，2015年7月至12月的抚育费3600元于2015年12月30日前付清；	0,3,1
共同财产：一、位于赤峰市巴林左旗林东镇东城区上京小区2栋4071号楼房一处，系原告婚后签订买卖合同，产权登记在原、被告名下。	4,2
三、夫妻共同财产座落于唐山市丰南区丰南镇滨河里明珠都市花园7-1-602住房一套及附属地下室一间的产权以及房屋内的康佳电视一台、荣升冰箱一台、小天鹅洗衣机一台、台式组装电脑一台、挂式分体空调一台、燃气热水器一台、厨具一套、双人床两张，归原告所有；	4,2
男方享有探视权；	0
另，关于车牌号为云A6610L汽车的分割，该车属于双方婚后购买系夫妻共同财产，原、被告当庭一致表示：车辆所有权归被告高某某，车辆现值为50000元，故本院依法确认车牌号为云Axxx0L汽车所有权归被告高某某，被告高某某需补偿车辆现值的一半25000元给原告代某。	2
3、判令双方夫妻共同财产各半分割。	2
原告认可被告曾去看过原告及孩子，并支付过孩子的抚养费，但是双方并未共同居住。	0
退一万步说，即使原告和林某之间存在真实的借贷关系，债务需要被告承担，也应用原、被告的共同财产来偿还债务，原告负责经营的属双方共有的网吧的收益足够偿还林某的债务，被告根本就没有欠原告的钱，请求法院对本案原、被告的共同债权、债务及共同财产全面查清，一并处理。	9
四、上海市水电路XXX弄XXX号XXX室房屋产权归被告所有，离婚后双方各自自行解决居住。	4,2
2010年8月1日，原告与北京保利兴房地产开发有限公司签订《商品房预售合同》，约定由原告购买北京市大兴区新城北区2号地7号xxx号房屋，总价款为2135493元。	10
3、依法分割夫妻共同财产，价值114000元；	2
今年六月，被反诉人要求将房屋产权变更为其单独所有，反诉人要求其支付房款，被反诉人说一时拿不出这么多钱，请求反诉人宽限二个月时间，并由其表哥作为无限连带责任担保人。	4,2
从2016年5月起，李某甲主动跟随原告柏某某生活在重庆市渝北区，李某甲现就读于重庆渝北区某某中学初一年级。	0
二、原、被告婚生的三个孩子由原告巴桑抚养，被告每个月15前给付每个孩子抚养费人民币71.49元，直到每个孩子十八岁为止；	0,7,3,1
一、准予原告麦某与被告张某甲离婚。	8,11
为了小孩能够健康成长，有一个良好的家庭经济条件、教育环境，为此，特诉至法院，请求：1、判决婚生子张胤熙归原告抚养，被告每月支付抚育费1000元直至儿子18周岁；	0,7,3,1
原告余某诉称，我与被告是1995年自由恋爱相识，于1996年5月10日在开平市东山镇人民政府登记结婚，于1996年11月22日生育儿子黄小某，儿子现已成年。	0
对子女抚养问题，应从有利于子女健康，保障子女合法权益出发，妥善解决子女抚养问题。	1
三、自2015年12月起，被告王某每月20日前给付婚生子钱某乙抚养费计人民币1000元。	0,7,3,1
孩子由我抚养，被告承担抚养费；	0,3,1
原告杜某某诉称，2012年9月原、被告经人介绍相识，2013年3月双方登记结婚，2014年1月生育一子李某甲。	0
2015年5月13日，原告向法院提出诉讼，要求与被告离婚，后原告发现其怀孕，故于2015年6月18日撤回起诉。	6
事实和理由：原被告于2008年11月经人介绍相识，于××××年××月××日在无棣县民政局登记结婚，于××××年××月××日生育一子一女，分别取名谭某乙、谭某丙。	0
2.婚生儿子陈某2、女儿陈某3归原告抚养，被告支付抚养费；	0,3,1
原告诉称，原、被告于××××年××月××日登记结婚，婚后从未共同生活，双方未建立起夫妻感情，诉至法院，请求判令：1、原、被告离婚；	5
二、婚生女唐XX、子唐XX由原告唐XX抚养；	0,1
3、登记在原告名下瑞金市象湖镇住房归原告所有，如被告对该房屋不要求补偿，则夫妻共同债务20万元由原告承担；	4,9,2
本院认为：吴某甲与钱某某离婚时，钱某某隐藏、转移了属于夫妻共同财产的存款4万元并单独支取。	2
现原告诉至法院请求判令：1、请求法院判决原、被告所生女儿付某丙（××××年××月××日生）由原告直接抚养，抚养费由原告承担；	13,1
本院经审理认定事实如下：原被告原系夫妻关系，××××年××月××日生育女儿何某2，2015年2月25日，双方因感情不和，在民政部门办理了离婚手续，并签订离婚协议，约定何某2归被告抚养，原告不支付抚养费，此后何某2一直随被告生活。	0,1
